number,title,source_file,category,target,status
1,李敖自传与回忆,001.李敖自传与回忆.txt,01.自传回忆类,01.自传回忆类/李敖自传与回忆.md,existing
2,李敖自传与回忆续集,002.李敖自传与回忆续集.txt,01.自传回忆类,01.自传回忆类/李敖自传与回忆续集.md,existing
3,我最难忘的事和人,003.我最难忘的事和人.txt,01.自传回忆类,01.自传回忆类/我最难忘的事和人.md,existing
4,李敖回忆录,004.李敖回忆录.txt,01.自传回忆类,01.自传回忆类/李敖回忆录.md,existing
5,李敖快意恩仇录,005.李敖快意恩仇录.txt,01.自传回忆类,01.自传回忆类/李敖快意恩仇录.md,existing
6,李敖议坛哀思录,006.李敖议坛哀思录.txt,01.自传回忆类,01.自传回忆类/李敖议坛哀思录.md,existing
7,李敖风流自传,007.李敖风流自传.txt,01.自传回忆类,01.自传回忆类/李敖风流自传.md,existing
8,李敖相关,008.李敖相关.txt,01.自传回忆类,01.自传回忆类/李敖相关.md,existing
9,传统下的独白,009.传统下的独白.txt,02.精品散文类,02.精品散文类/传统下的独白.md,existing
10,传统下的再白,010.传统下的再白.txt,02.精品散文类,02.精品散文类/传统下的再白.md,existing
11,独白下的传统,011.独白下的传统.txt,02.精品散文类,02.精品散文类/独白下的传统.md,existing
12,李敖文存,012.李敖文存.txt,02.精品散文类,02.精品散文类/李敖文存.md,existing
13,李敖文存二集,013.李敖文存二集.txt,02.精品散文类,02.精品散文类/李敖文存二集.md,existing
14,波波颂,014.波波颂.txt,02.精品散文类,02.精品散文类/波波颂.md,existing
15,李敖全集,015.李敖全集.txt,02.精品散文类,02.精品散文类/李敖全集.md,existing
16,教育与脸谱,016.教育与脸谱.txt,03.惊世杂文类,03.惊世杂文类/教育与脸谱.md,existing
17,文化论战丹火录,017.文化论战丹火录.txt,03.惊世杂文类,03.惊世杂文类/文化论战丹火录.md,existing
18,为中国思想趋向求答案,018.为中国思想趋向求答案.txt,03.惊世杂文类,03.惊世杂文类/为中国思想趋向求答案.md,existing
19,上下古今谈,019.上下古今谈.txt,03.惊世杂文类,03.惊世杂文类/上下古今谈.md,existing
20,世论新语,020.世论新语.txt,03.惊世杂文类,03.惊世杂文类/世论新语.md,existing
21,求是新语,021.求是新语.txt,03.惊世杂文类,03.惊世杂文类/求是新语.md,existing
22,我是天安门,022.我是天安门.txt,03.惊世杂文类,03.惊世杂文类/我是天安门.md,existing
23,你是景福门,023.你是景福门.txt,03.惊世杂文类,03.惊世杂文类/你是景福门.md,existing
24,为自由招魂,024.为自由招魂.txt,03.惊世杂文类,03.惊世杂文类/为自由招魂.md,existing
25,你笨蛋，你笨蛋,025.你笨蛋，你笨蛋.txt,03.惊世杂文类,03.惊世杂文类/你笨蛋，你笨蛋.md,existing
26,我梦碎，所以我梦醒,026.我梦碎，所以我梦醒.txt,03.惊世杂文类,03.惊世杂文类/我梦碎，所以我梦醒.md,existing
27,李敖新刊,027.李敖新刊.txt,03.惊世杂文类,03.惊世杂文类/李敖新刊.md,existing
28,千秋万岁乌鸦求是合集,028.千秋万岁乌鸦求是合集.txt,03.惊世杂文类,03.惊世杂文类/千秋万岁乌鸦求是合集.md,existing
29,李敖杂文集,029.李敖杂文集.txt,03.惊世杂文类,03.惊世杂文类/李敖杂文集.md,existing
30,千秋万岁编外集,030.千秋万岁编外集.txt,03.惊世杂文类,03.惊世杂文类/千秋万岁编外集.md,existing
31,求是报,031.求是报.txt,03.惊世杂文类,03.惊世杂文类/求是报.md,existing
32,北京法源寺,032.北京法源寺.txt,04.小说剧本类,04.小说剧本类/北京法源寺.md,existing
33,上山·上山·爱,033.上山·上山·爱.txt,04.小说剧本类,04.小说剧本类/上山·上山·爱.md,existing
34,红色11,034.红色11.txt,04.小说剧本类,04.小说剧本类/红色11.md,existing
35,虚拟的十七岁,035.虚拟的十七岁.txt,04.小说剧本类,04.小说剧本类/虚拟的十七岁.md,existing
36,阳痿美国,036.阳痿美国.txt,04.小说剧本类,04.小说剧本类/阳痿美国.md,existing
37,第73烈士,037.第73烈士.txt,04.小说剧本类,04.小说剧本类/第73烈士.md,existing
38,爱情的秘密,038.爱情的秘密.txt,05.诗集语录类,05.诗集语录类/爱情的秘密.md,existing
39,李敖的情诗,039.李敖的情诗.txt,05.诗集语录类,05.诗集语录类/李敖的情诗.md,existing
40,李语录,040.李语录.txt,05.诗集语录类,05.诗集语录类/李语录.md,existing
41,李敖语录,041.李敖语录.txt,05.诗集语录类,05.诗集语录类/李敖语录.md,existing
42,虽千万人，李敖往矣,042.虽千万人，李敖往矣.txt,05.诗集语录类,05.诗集语录类/虽千万人，李敖往矣.md,existing
43,挑战李敖——敖语录,043.挑战李敖——敖语录.txt,05.诗集语录类,05.诗集语录类/挑战李敖——敖语录.md,existing
44,大学札记,044.大学札记.txt,06.沉思日记类,06.沉思日记类/大学札记.md,existing
45,早年日记,045.早年日记.txt,06.沉思日记类,06.沉思日记类/早年日记.md,existing
46,大学日记后期甲集,046.大学日记后期甲集.txt,06.沉思日记类,06.沉思日记类/大学日记后期甲集.md,existing
47,大学日记后期乙集,047.大学日记后期乙集.txt,06.沉思日记类,06.沉思日记类/大学日记后期乙集.md,existing
48,一个预备军官的日记,048.一个预备军官的日记.txt,06.沉思日记类,06.沉思日记类/一个预备军官的日记.md,existing
49,李敖秘藏日记,049.李敖秘藏日记.txt,06.沉思日记类,06.沉思日记类/李敖秘藏日记.md,existing
50,李敖札记,050.李敖札记.txt,06.沉思日记类,06.沉思日记类/李敖札记.md,existing
51,李敖五五日记,051.李敖五五日记.txt,06.沉思日记类,06.沉思日记类/李敖五五日记.md,existing
52,李敖随写录前集,052.李敖随写录前集.txt,06.沉思日记类,06.沉思日记类/李敖随写录前集.md,existing
53,李敖随写录后集,053.李敖随写录后集.txt,06.沉思日记类,06.沉思日记类/李敖随写录后集.md,existing
54,李敖报刊集,054.李敖报刊集.txt,07.采访序跋类,07.采访序跋类/李敖报刊集.md,existing
55,李敖书序集,055.李敖书序集.txt,07.采访序跋类,07.采访序跋类/李敖书序集.md,existing
56,李敖书序集续集,056.李敖书序集续集.txt,07.采访序跋类,07.采访序跋类/李敖书序集续集.md,existing
57,李敖对话录,057.李敖对话录.txt,07.采访序跋类,07.采访序跋类/李敖对话录.md,existing
58,李敖访谈录1990-2018,058.李敖访谈录1990-2018.txt,07.采访序跋类,07.采访序跋类/李敖访谈录1990-2018.md,existing
59,李敖情书集,059.李敖情书集.txt,08.书信函件类,08.书信函件类/李敖情书集.md,existing
60,李敖书信集,060.李敖书信集.txt,08.书信函件类,08.书信函件类/李敖书信集.md,existing
61,李敖书翰集,061.李敖书翰集.txt,08.书信函件类,08.书信函件类/李敖书翰集.md,existing
62,李敖书简集,062.李敖书简集.txt,08.书信函件类,08.书信函件类/李敖书简集.md,existing
63,李敖书札集,063.李敖书札集.txt,08.书信函件类,08.书信函件类/李敖书札集.md,existing
64,李敖书笺集,064.李敖书笺集.txt,08.书信函件类,08.书信函件类/李敖书笺集.md,existing
65,李敖书牍集,065.李敖书牍集.txt,08.书信函件类,08.书信函件类/李敖书牍集.md,existing
66,李敖书函集,066.李敖书函集.txt,08.书信函件类,08.书信函件类/李敖书函集.md,existing
67,李敖书启集,067.李敖书启集.txt,08.书信函件类,08.书信函件类/李敖书启集.md,existing
68,坐牢家爸爸给女儿的八十封信,068.坐牢家爸爸给女儿的八十封信.txt,08.书信函件类,08.书信函件类/坐牢家爸爸给女儿的八十封信.md,existing
69,给马戈的五十封信,069.给马戈的五十封信.txt,08.书信函件类,08.书信函件类/给马戈的五十封信.md,existing
70,李敖写的信,070.李敖写的信.txt,08.书信函件类,08.书信函件类/李敖写的信.md,existing
71,历史与人像,071.历史与人像.txt,09.历史文化类,09.历史文化类/历史与人像.md,existing
72,读史指南,072.读史指南.txt,09.历史文化类,09.历史文化类/读史指南.md,existing
73,为历史拨云,073.为历史拨云.txt,09.历史文化类,09.历史文化类/为历史拨云.md,existing
